Name, MatchCount, Wins, Aces, TotalSpeed, DoubleFault, TotalPoints,
Adrian Mannarino, 7, 2, 30, 113.07142857142857, 3, 90.85714285714286
Adrian Menendez-Maceiras, 1, 0, 12, 0.0, 4, 119.0
Adrian Ungur, 1, 0, 3, 0.0, 5, 82.0
Agustin Calleri, 9, 3, 109, 36.666666666666664, 8, 128.77777777777777
Alan Mackin, 1, 0, 1, 0.0, 9, 85.0
Albert Costa, 4, 2, 28, 119.375, 4, 124.5
Albert Montanes, 14, 3, 65, 45.32142857142857, 4, 87.5
Albert Portas, 1, 0, 6, 0.0, 8, 80.0
Albert Ramos, 3, 0, 11, 103.0, 5, 121.66666666666667
Alberto Martin, 5, 1, 12, 0.0, 5, 97.4
Alejandro Falla, 13, 7, 51, 59.38461538461539, 3, 114.3076923076923
Alejandro Gonzalez, 1, 0, 2, 164.0, 4, 75.0
Aleksandr Nedovesov, 1, 0, 8, 162.0, 2, 67.0
Alessio di Mauro, 1, 0, 5, 0.0, 4, 54.0
Alex Calatrava, 1, 0, 6, 0.0, 5, 154.0
Alex Corretja, 2, 1, 6, 160.25, 6, 140.5
Alex Jr. Bogomolov, 7, 2, 15, 45.357142857142854, 6, 115.14285714285714
Alex Kuznetsov, 3, 1, 40, 56.166666666666664, 4, 90.0
Alexander Kudryavtsev, 1, 0, 4, 97.5, 4, 70.0
Alexander Popp, 1, 0, 12, 0.0, 4, 91.0
Alexander Waske, 2, 0, 41, 0.0, 6, 103.0
Alexandr Dolgopolov, 11, 7, 152, 131.4090909090909, 3, 131.72727272727272
Aljaz Bedene, 2, 0, 27, 0.0, 9, 102.5
Alun Jones, 4, 1, 18, 79.125, 4, 105.0
Amer Delic, 9, 5, 135, 40.22222222222222, 6, 125.55555555555556
Amir Weintraub, 2, 1, 20, 82.0, 3, 93.5
Andre Agassi, 11, 9, 78, 163.5, 2, 103.81818181818181
Andrea Stoppini, 1, 0, 6, 158.5, 6, 80.0
Andreas Beck, 3, 2, 8, 0.0, 7, 121.66666666666667
Andreas Seppi, 16, 7, 159, 79.3125, 5, 133.1875
Andrei Pavel, 10, 5, 71, 62.35, 3, 111.6
Andrey Golubev, 7, 2, 34, 68.57142857142857, 5, 99.57142857142857
Andrey Kuznetsov, 2, 1, 11, 154.5, 6, 88.5
Andy Murray, 42, 33, 355, 144.53571428571428, 2, 105.66666666666667
Andy Roddick, 41, 32, 610, 154.3048780487805, 2, 102.60975609756098
Antonio Veic, 2, 1, 9, 75.25, 1, 119.0
Antony Dupuis, 2, 0, 37, 84.75, 8, 146.0
Arnau Brugues-Davi, 1, 0, 3, 0.0, 2, 65.0
Arnaud Clement, 10, 2, 41, 79.35, 3, 105.3
Benjamin Becker, 10, 3, 107, 84.95, 4, 102.3
Benjamin Mitchell, 2, 0, 21, 164.75, 9, 143.5
Benoit Paire, 7, 3, 101, 139.0, 5, 105.42857142857143
Bernard Tomic, 15, 9, 116, 160.16666666666666, 3, 113.46666666666667
Bjorn Phau, 9, 2, 27, 36.22222222222222, 4, 85.44444444444444
Bjorn Rehnquist, 2, 0, 3, 71.25, 2, 45.5
Blaz Kavcic, 10, 5, 59, 81.55, 5, 109.0
Blaz Rola, 2, 1, 18, 0.0, 8, 115.5
Bobby Reynolds, 7, 2, 83, 25.428571428571427, 6, 115.0
Bohdan Ulihrach, 4, 2, 13, 80.875, 5, 95.5
Boris Pashanski, 3, 1, 11, 52.166666666666664, 4, 111.66666666666667
Bradley Klahn, 1, 0, 10, 0.0, 9, 105.0
Brian Baker, 2, 1, 18, 79.75, 2, 113.0
Brian Dabul, 3, 1, 9, 52.0, 1, 78.33333333333333
